NACA 8514 | b=2.65m | S=0.11m^2 | v=19.41m/s  L/D=79.77778372374632
NACA 8514 | b=2.65m | S=0.11m^2 | v=19.41m/s  L/D=79.77778372374632
NACA 6307 | b=2.49m | S=0.10m^2 | v=13.03m/s  L/D=72.72607283759517
NACA 4509 | b=2.66m | S=0.11m^2 | v=14.07m/s  L/D=81.23236109100513
NACA 3515 | b=2.83m | S=0.10m^2 | v=19.99m/s  L/D=102.47276844438711
NACA 3515 | b=2.83m | S=0.10m^2 | v=19.99m/s  L/D=102.47276844438711
NACA 3515 | b=2.83m | S=0.10m^2 | v=19.99m/s  L/D=102.47276844438711
NACA 5712 | b=3.00m | S=0.10m^2 | v=20.75m/s  L/D=100.76623744147415
NACA 4519 | b=2.82m | S=0.11m^2 | v=14.07m/s  L/D=103.10807379854984
NACA 4519 | b=2.82m | S=0.11m^2 | v=14.07m/s  L/D=103.10807379854984
NACA 5712 | b=3.00m | S=0.10m^2 | v=20.75m/s  L/D=100.76623744147415
NACA 5219 | b=3.00m | S=0.10m^2 | v=16.49m/s  L/D=109.74107665246504
NACA 5219 | b=3.00m | S=0.10m^2 | v=16.49m/s  L/D=109.74107665246504
NACA 5416 | b=3.00m | S=0.10m^2 | v=15.81m/s  L/D=115.62671125112918
NACA 5219 | b=3.00m | S=0.10m^2 | v=16.49m/s  L/D=109.74107665246504
