generation,best_LD,wing_span_m,wing_area_m2,velocity_m_s,lift
0,79.77778372374632,2.652,0.11,19.41,43.365006090945
1,79.77778372374632,2.652,0.11,19.41,43.365006090945
2,72.72607283759517,2.487,0.1,13.03,12.816866254062498
3,81.23236109100513,2.659,0.11,14.07,14.92375968034875
4,102.47276844438711,2.831,0.1,19.99,24.157324545375
5,102.47276844438711,2.831,0.1,19.99,24.157324545375
6,102.47276844438711,2.831,0.1,19.99,24.157324545375
7,100.76623744147415,3.0,0.1,20.75,39.49463700000001
8,103.10807379854984,2.822,0.11,14.07,15.853410274432505
9,103.10807379854984,2.822,0.11,14.07,15.853410274432505
10,100.76623744147415,3.0,0.1,20.75,39.49463700000001
11,109.74107665246504,3.0,0.1,16.49,19.849555479775
12,109.74107665246504,3.0,0.1,16.49,19.849555479775
13,115.62671125112918,3.0,0.1,15.81,18.950484210525
14,109.74107665246504,3.0,0.1,16.49,19.849555479775
